Feature,Mean_Absolute_SHAP_Value
relationship,0.08250921809990423
education.num,0.0641252796484457
marital.status,0.057920428698936634
capital.gain,0.05209162998211284
age,0.0508662225240304
hours.per.week,0.03488029534582122
occupation,0.027256028661833465
education,0.016692325038836938
capital.loss,0.015609354356787996
sex,0.01484768163238264
fnlwgt,0.012809549950407617
workclass,0.010001244644816481
race,0.0035069967482899127
native.country,0.0030633488573347913
